Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,LatitudeUTM,LongitudeUTM,Lat,Lon,Region,Cluster
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,286580,749680,56.62508,-3.85052,Highland,1
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,326340,842570,57.46728,-3.22997,Speyside,1
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB54 5LI,352960,839320,57.5637,-2.7589,Highland,2
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,141560,646220,55.64018,-6.10911,Islay & Islands,3
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,355350,829140,57.35044,-2.74388,Highland,5
Arran Isle Of,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,55.69948,-5.27964,Islay & Islands,4
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,55.92231,-4.43951,Lowland,2
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 6XS,340754,848623,57.54703,-3.11692,Speyside,1
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 6QY,340754,848623,57.56654,-3.0009,Speyside,2
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,270820,885770,57.8426,-4.17811,Highland,5
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,307750,827170,57.32534,-3.5339,Speyside,6
Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,332680,840840,57.45487,-3.12794,Speyside,4
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,212600,775710,56.83482,-5.07377,Highland,1
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,323450,858380,57.60863,-3.28188,Speyside,4
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,325800,839920,57.44458,-3.23416,Speyside,1
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,303330,859350,57.61361,-3.62003,Speyside,1
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,242260,554260,54.85811,-4.45884,Lowland,4
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,294860,757580,56.69768,-3.71859,Highland,1
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7JS,131330,659720,55.75622,-6.29024,Islay & Islands,5
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,55.7684,-6.35968,Islay & Islands,5
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,55.88237,-6.12395,Islay & Islands,2
Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,142920,670040,55.85473,-6.10963,Islay & Islands,3
