Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,LatitudeUTM,LongitudeUTM,Lat,Lon,Region
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,286580,749680,56.62508,-3.85052,Highland
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,326340,842570,57.46728,-3.22997,Speyside
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB54 5LI,352960,839320,57.5637,-2.7589,Highland
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,141560,646220,55.64018,-6.10911,Islay & Islands
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,355350,829140,57.35044,-2.74388,Highland
Arran Isle Of,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,55.69948,-5.27964,Islay & Islands
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,55.92231,-4.43951,Lowland
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 6XS,340754,848623,57.54703,-3.11692,Speyside
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 6QY,340754,848623,57.56654,-3.0009,Speyside
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,270820,885770,57.8426,-4.17811,Highland
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,307750,827170,57.32534,-3.5339,Speyside
Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,332680,840840,57.45487,-3.12794,Speyside
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,212600,775710,56.83482,-5.07377,Highland
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,323450,858380,57.60863,-3.28188,Speyside
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,325800,839920,57.44458,-3.23416,Speyside
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,303330,859350,57.61361,-3.62003,Speyside
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,242260,554260,54.85811,-4.45884,Lowland
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,294860,757580,56.69768,-3.71859,Highland
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7JS,131330,659720,55.75622,-6.29024,Islay & Islands
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,55.7684,-6.35968,Islay & Islands
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,55.88237,-6.12395,Islay & Islands
Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,142920,670040,55.85473,-6.10963,Islay & Islands
Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB38 7RY,318790,843090,57.47036,-3.3561,Speyside
Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW9 6LR,290250,904230,58.02375,-3.87033,Highland
Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,57.48792,-3.19083,Speyside
Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,57.41172,-3.38784,Speyside
Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB38 7RE,323520,841010,57.4528,-3.27652,Speyside
Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV17 0UT,266610,868730,57.68868,-4.23894,Highland
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH19 1AB,263670,785270,56.93543,-4.24166,Highland
Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,56.18868,-4.07017,Highland
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200,57.43835,-3.12862,Speyside
Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940,56.7016,-3.70242,Highland
Glen Deveron Macduff,2,3,1,1,1,1,1,2,0,2,0,1,AB45 3JT,372120,860400,57.6578,-2.51276,Highland
Glen Elgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 8SL,322640,861040,57.59769,-3.28049,Speyside
Glen Garioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590,57.33834,-2.31719,Highland
Glen Grant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570,57.53034,-3.21079,Speyside
Glen Keith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 5FQ,340754,848623,57.54633,-2.95667,Speyside
Glen Moray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820,862320,57.6435,-3.34511,Speyside
Glen Ord,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810,850860,57.52218,-4.47821,Highland
